Longitud,Latitud,Valor
-69.48310,-17.59500,0.80000
-69.72440,-17.77190,0.80000
-69.70390,-17.83500,0.80000
-69.65940,-17.99310,0.60000
-69.63310,-18.00360,0.40000
-69.20170,-18.05420,1.10000
-69.50920,-18.17690,0.60000
-69.23280,-18.18360,1.10000
-69.21420,-18.18580,1.00000
-69.55890,-18.19500,0.50000
-69.56030,-18.19920,0.50000
-69.26830,-18.20140,1.00000
-69.26830,-18.20420,0.90000
-69.29560,-18.21640,1.00000
-69.18330,-18.23530,1.00000
-69.13830,-18.28080,0.90000
-69.55190,-18.35190,0.40000
-69.54810,-18.37220,0.40000
-70.16920,-18.41030,0.00000
-69.51670,-18.46690,0.30000
-70.32080,-18.47750,0.00000
-69.15470,-18.49830,0.70000
-70.28420,-18.51190,0.00000
-69.56560,-18.51330,0.20000
-70.18060,-18.51560,0.00000
-69.49390,-18.58110,0.30000
-69.08440,-18.79390,0.80000
-70.15000,-18.81690,0.00000
-69.74390,-18.83220,0.00000
-69.53280,-18.94170,0.10000
-69.61970,-18.94310,0.00000
-69.11080,-19.09530,0.70000
-70.12690,-19.11170,0.00000
-69.24470,-19.11810,0.20000
-68.80440,-19.22890,0.30000
-68.63780,-19.27640,0.40000
-69.41720,-19.31360,0.10000
-69.18330,-19.68310,0.40000
-69.14330,-19.78310,0.20000
-69.27310,-19.80970,0.10000
-68.85440,-19.84720,0.30000
-68.60170,-19.85530,0.40000
-69.18310,-19.87190,0.10000
-68.83690,-19.93330,0.40000
-68.57060,-20.00030,0.40000
-69.20330,-20.01220,0.10000
-68.80750,-20.05310,0.40000
-69.27030,-20.06500,0.00000
-69.21470,-20.07560,0.10000
-69.74970,-20.13080,0.00000
-69.33970,-20.20330,0.00000
-70.13610,-20.21530,0.00000
-68.69420,-20.70860,0.30000
-69.04560,-20.92720,0.10000
-68.89220,-20.93030,0.20000
-68.62750,-20.97140,0.50000
-68.80190,-20.99610,0.40000
-68.24940,-21.22330,0.20000
-68.33860,-21.53110,0.20000
-68.66110,-21.65530,0.20000
-68.66220,-21.65580,0.20000
-69.53580,-21.66030,0.00000
-68.27560,-21.72530,0.20000
-69.51390,-21.85060,0.00000
-68.59640,-21.90530,0.10000
-68.53640,-21.93330,0.10000
-68.51750,-21.94280,0.10000
-68.72390,-21.95000,0.10000
-68.31280,-21.97060,0.10000
-68.02890,-22.01390,0.30000
-68.62420,-22.02500,0.10000
-68.62080,-22.02670,0.10000
-68.06610,-22.02780,0.30000
-70.18970,-22.07970,0.00000
-68.31670,-22.11470,0.20000
-68.02280,-22.22970,0.50000
-68.28810,-22.24080,0.10000
-68.17330,-22.25920,0.30000
