Year;Month;Day;Hour;Minute;Temperature;RelativeHumidity;MeanSeaLevelPressure;TotalPrecipitation;TotalPrecipitationLR;SnowfallAmount;SnowfallAmount;TotalCloudCover;HighCloudCover;MediumCloudCover;LowCloudCover;SunshineDuration;ShortwaveRadiation;WindSpeed1;WindDirection1;WindSpeed2;WindDirection2;WindSpeed3;WindDirection3;WindGust
2019;03;04;00;00;18.63;44.00;1013.80;0.00;0.00;0.00;0.00;100.00;13.00;100.00;0.00;-999.00;0.00;2.88;180.00;4.68;180.00;5.35;132.27;7.56
2019;03;04;01;00;17.95;48.00;1013.70;0.00;0.00;0.00;0.00;100.00;22.00;100.00;0.00;0.00;0.00;2.19;170.54;4.32;180.00;5.19;123.69;6.48
2019;03;04;02;00;17.26;53.00;1013.50;0.00;0.00;0.00;0.00;100.00;27.00;100.00;0.00;0.00;0.00;2.19;189.46;4.38;189.46;4.69;122.47;5.40
2019;03;04;03;00;16.68;58.00;1013.40;0.00;0.00;0.00;0.00;100.00;30.00;100.00;1.00;0.00;0.00;1.84;191.31;3.24;180.00;4.74;98.75;4.68
2019;03;04;04;00;16.19;61.00;1013.40;0.00;0.00;0.00;0.00;100.00;33.00;100.00;0.00;0.00;0.00;1.30;213.69;1.80;180.00;4.38;80.54;4.68
2019;03;04;05;00;15.71;65.00;1013.50;0.00;0.00;0.00;0.00;100.00;32.00;100.00;0.00;0.00;0.00;2.04;225.00;1.80;180.00;3.67;78.69;5.04
2019;03;04;06;00;15.18;67.00;1013.90;0.00;0.00;0.00;0.00;100.00;31.00;100.00;0.00;0.00;0.00;2.31;218.66;2.19;170.54;2.90;82.87;3.96
2019;03;04;07;00;14.68;69.00;1014.40;0.00;0.00;0.00;0.00;100.00;2.00;100.00;0.00;0.00;0.00;2.55;225.00;2.52;180.00;2.90;82.87;4.68
2019;03;04;08;00;14.72;69.00;1015.10;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;0.00;11.57;1.94;201.80;2.81;140.19;4.45;75.96;3.60
2019;03;04;09;00;15.26;62.00;1014.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;169.10;3.32;229.40;3.32;167.47;5.00;59.74;5.04
2019;03;04;10;00;16.81;58.00;1015.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;380.92;6.64;229.40;4.74;171.25;2.88;90.00;5.76
2019;03;04;11;00;18.72;51.00;1015.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;574.94;8.44;219.81;6.99;168.11;5.80;150.26;4.68
2019;03;04;12;00;20.68;44.00;1014.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;732.47;10.30;216.47;7.77;166.61;7.77;166.61;19.80
2019;03;04;13;00;22.46;38.00;1014.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;841.05;10.80;216.87;8.40;170.13;9.03;175.43;15.48
2019;03;04;14;00;23.76;35.00;1014.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;894.45;12.18;214.16;9.83;171.57;10.44;180.00;20.88
2019;03;04;15;00;24.64;33.00;1014.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;888.22;12.98;213.69;10.82;176.19;11.89;181.74;18.72
2019;03;04;16;00;25.19;31.00;1014.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;822.36;11.98;212.74;9.53;169.11;10.80;180.00;16.92
